id,ts_utc,rsu_id,rsu_position_x,rsu_position_y,vehicle_id,speed,battery_charge,battery_capacity,battery_percentage,sim_time,collection_timestamp,rsu_received_at
7,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Easybike_ER-02B,0.0,1500.0,3000.0,50.0,1.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
8,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Easybike_ER-02B,0.0,1500.0,3000.0,50.0,1.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
57,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,0.0,1500.0,3000.0,50.0,1.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
96,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,0.0,1500.0,3000.0,50.0,1.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
97,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,0.0,1500.0,3000.0,50.0,1.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
9,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Easybike_ER-02B,7.138806520495564,1483.92,3000.0,49.464000000000006,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
10,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Electric_Rickshaw_V8,1.6652936284663156,1249.08,2500.0,49.96319999999999,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
11,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_10_Small_Easybike_V12,4.488562709535472,993.65,2000.0,49.6825,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
12,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Easybike_ER-02B,7.258772619534284,1483.52,3000.0,49.45066666666666,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
13,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Electric_Rickshaw_V8,1.908012808667634,1248.77,2500.0,49.9508,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
14,2025-11-15T23:35:51Z,RSU_Doratana,-44.04,49.98,t_8_Small_Easybike_V12,4.473816256826913,993.63,2000.0,49.6815,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
58,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Easybike_ER-02B,7.534204590250738,1482.3,3000.0,49.41,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
59,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Electric_Rickshaw_V8,2.0360149235930294,1248.63,2500.0,49.94520000000001,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
60,2025-11-15T23:35:51Z,RSU_Monihar,79.98,-8.38,t_11_Small_Easybike_V12,5.334593567849732,991.13,2000.0,49.5565,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
98,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Easybike_ER-02B,7.63177246786654,1481.91,3000.0,49.397000000000006,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
99,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Electric_Rickshaw_V8,1.6845218312228099,1249.06,2500.0,49.962399999999995,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
100,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_1_Small_Easybike_V12,4.231089865555987,994.26,2000.0,49.713,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
101,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Easybike_ER-02B,8.252673384849913,1479.15,3000.0,49.30500000000001,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
102,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Electric_Rickshaw_V8,1.7963296370519113,1248.9,2500.0,49.956,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
103,2025-11-15T23:35:51Z,RSU_Palbari,-218.7,214.9,t_2_Small_Easybike_V12,4.788156493450515,992.84,2000.0,49.642,11.0,2025-11-15T23:35:51Z,2025-11-15T23:35:51Z
